year,origin_state,destination_state,tourists_thousands
2022,Johor,W.P. Labuan,5.689
2022,Johor,W.P. Putrajaya,63.131
2022,Kedah,Johor,134.496
2022,Kedah,Kedah,2214.923
2022,Kedah,Kelantan,204.534
2022,Kedah,Melaka,124.096
2022,Kedah,Negeri Sembilan,56.088
2022,Kedah,Pahang,207.303
2022,Kedah,Pulau Pinang,290.949
2022,Kedah,Perak,409.295
2022,Kedah,Perlis,155.594
2022,Kedah,Selangor,211.435
2022,Kedah,Terengganu,87.476
2022,Kedah,Sabah,17.578
2022,Kedah,Sarawak,3.461
2022,Kedah,W.P. Kuala Lumpur,182.047
2022,Kedah,W.P. Labuan,1.056
2022,Kedah,W.P. Putrajaya,17.542
2022,Kelantan,Johor,167.817
2022,Kelantan,Kedah,53.204
2022,Kelantan,Kelantan,454.443
2022,Kelantan,Melaka,102.667
2022,Kelantan,Negeri Sembilan,31.519
2022,Kelantan,Pahang,346.541
2022,Kelantan,Pulau Pinang,147.006
2022,Kelantan,Perak,165.645
2022,Kelantan,Perlis,25.117
2022,Kelantan,Selangor,544.923
2022,Kelantan,Terengganu,339.387
2022,Kelantan,Sabah,35.491
2022,Kelantan,Sarawak,18.663
2022,Kelantan,W.P. Kuala Lumpur,327.606
2022,Kelantan,W.P. Labuan,3.337
2022,Kelantan,W.P. Putrajaya,50.81
2022,Melaka,Johor,355.441
2022,Melaka,Kedah,74.543
2022,Melaka,Kelantan,63.556
2022,Melaka,Melaka,318.922
2022,Melaka,Negeri Sembilan,216.554
2022,Melaka,Pahang,260.574
2022,Melaka,Pulau Pinang,101.995
2022,Melaka,Perak,108.426
2022,Melaka,Perlis,4.281
2022,Melaka,Selangor,398.74
2022,Melaka,Terengganu,101.708
2022,Melaka,Sabah,22.381
2022,Melaka,Sarawak,3.845
2022,Melaka,W.P. Kuala Lumpur,107.802
2022,Melaka,W.P. Labuan,0.153
2022,Melaka,W.P. Putrajaya,9.632
2022,Negeri Sembilan,Johor,385.865
2022,Negeri Sembilan,Kedah,114.145
2022,Negeri Sembilan,Kelantan,182.492
2022,Negeri Sembilan,Melaka,394.611
2022,Negeri Sembilan,Negeri Sembilan,896.699
2022,Negeri Sembilan,Pahang,533.173
2022,Negeri Sembilan,Pulau Pinang,189.219
2022,Negeri Sembilan,Perak,210.959
2022,Negeri Sembilan,Perlis,23.493
2022,Negeri Sembilan,Selangor,240.417
2022,Negeri Sembilan,Terengganu,220.746
2022,Negeri Sembilan,Sabah,14.447
2022,Negeri Sembilan,Sarawak,15.203
2022,Negeri Sembilan,W.P. Kuala Lumpur,105.939
2022,Negeri Sembilan,W.P. Labuan,4.544
2022,Negeri Sembilan,W.P. Putrajaya,18.18
2022,Pahang,Johor,430.093
2022,Pahang,Kedah,84.856
2022,Pahang,Kelantan,454.674
2022,Pahang,Melaka,142.37
2022,Pahang,Negeri Sembilan,205.083
2022,Pahang,Pahang,2079.678
2022,Pahang,Pulau Pinang,117.095
2022,Pahang,Perak,191.441
2022,Pahang,Perlis,37.434
2022,Pahang,Selangor,422.459
2022,Pahang,Terengganu,729.74
2022,Pahang,Sabah,29.596
2022,Pahang,Sarawak,4.169
2022,Pahang,W.P. Kuala Lumpur,376.728
2022,Pahang,W.P. Labuan,7.423
2022,Pahang,W.P. Putrajaya,51.867
2022,Pulau Pinang,Johor,36.6
2022,Pulau Pinang,Kedah,433.95
2022,Pulau Pinang,Kelantan,70.297
2022,Pulau Pinang,Melaka,60.315
